"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/10/2019","Miltons","MILTON VETERINARY HOSPITA","62.00","debit","Veterinary","Venture","",""
"4/10/2019","Wal-Mart","WM SUPERCENTER #2330","23.91","debit","Shopping","Venture","",""
"4/08/2019","NOLANS BRICK OVEN BISTRO","NOLANS BRICK OVEN BISTRO","36.00","debit","Restaurants","Venture","",""
"4/08/2019","PENNY CANDY SHOP","PENNY CANDY SHOP","7.22","debit","Misc Shopping","Venture","",""
"4/08/2019","Amazon","AMZN MKTP US*MW18347Q0 AM","21.99","debit","Clothing - SAP","Venture","",""
"4/08/2019","PERSONALIZEDPLANET.COM","PERSONALIZEDPLANET.COM","8.99","debit","Home Improvement","Venture","",""
"4/08/2019","Groupon","GROUPON INC","5.00","debit","Shopping","Venture","",""
"4/06/2019","iTunes","APL*ITUNES.COM/BILL","4.99","debit","Music","Venture","",""
"4/04/2019","Circle K","CIRCLE K 07248","31.06","debit","Gas & Fuel","Venture","",""
"4/04/2019","Amazon","AMZN Mktp US*MW1YY7DY0","26.57","debit","Shopping","Venture","",""
"4/04/2019","Level Up","LEVELUP*TROPICALSMOOTH","13.28","debit","Fast Food","Venture","",""
"4/01/2019","CHEGG ORDER","CHEGG ORDER","14.95","debit","Subscriptions","Venture","",""
"4/01/2019","Level Up","LEVELUP*TROPICALSMOOTH","5.44","debit","Fast Food","Venture","",""
"4/01/2019","MARGARITAS DOVER","MARGARITAS DOVER","34.43","debit","Restaurants","Venture","",""
"3/29/2019","Liberty","LIBERTY CAFE W10183481","7.50","debit","Fast Food","Venture","",""
"3/29/2019","DirecTV","DTV*DIRECTV SERVICE","59.49","debit","Cable/ Internet","Venture","",""
"3/28/2019","GRANITE STEAK & GRILLE","GRANITE STEAK & GRILLE","33.06","debit","Restaurants","Venture","",""
"3/26/2019","Capital One","CAPITAL ONE MOBILE PYMT AuthDate 26-Mar","1200.00","credit","Transfer","Venture","",""
"3/25/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"3/22/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"3/22/2019","JetBlue","JETBLUE 2792607297482","30.00","debit","Travel","Venture","",""
"3/22/2019","JetBlue","JETBLUE 2792607297447","30.00","debit","Travel","Venture","",""
"3/22/2019","Chili's","CHILI'S JAX","36.42","debit","Restaurants","Venture","",""
"3/21/2019","Liberty Mutual","LIBERTY MUTUAL RECUR","150.59","debit","Auto Insurance","Venture","",""
"3/19/2019","iTunes","APL* ITUNES.COM/BILL","8.57","debit","Music","Venture","",""
"3/18/2019","Whataburger","WHATABURGER 909","9.04","debit","Travel","Venture","",""
"3/18/2019","Wal-Mart","WM SUPERCENTER #5037","14.33","debit","Travel","Venture","",""
"3/18/2019","McDonald's","MCDONALD'S F32325","6.19","debit","Travel","Venture","",""
"3/18/2019","Palace Saloon","THE PALACE SALOON","14.50","debit","Travel","Venture","",""
"3/18/2019","Wine & Spirits","ABC FINE WINE/SPIRITS 172","45.43","debit","Travel","Venture","",""
"3/18/2019","Petro Express","PETRO EXPRESS #108","6.11","debit","Travel","Venture","",""
